Slide Number,Star,tlx,tly,brx,bry,Extra Text,,,,,cx,cy,,,,,,,,,
SLIDE 1,1,2,18,10,34,The atmosphere acts like a jacket to keep the planet warm.  If there was no atmosphere the Earth would be about -18 C. Brr,,,,,6,26,,,,,,,,,
SLIDE 1,2,41,71,49,87,"If the earth was the size on an apple, the atmosphere would be thinner than the skin of the apple.",,,,,45,79,,,,,,,,,
SLIDE 2,1,48,73,56,89,"Nitrogen is what is known as an inert gas; this means that it doesn't normally undergo chemical reactions.   When we breath in Nitrogen, it doesn't react in our lungs, and therefore doesn't affect our bodies in any way.",,,,,52,81,,,,,,,,,
SLIDE 2,2,86,75,94,91,"Why is the sky blue?  The light coming from the sun is white, so it contains all the colours of the rainbow.  But the nitrogen and oxygen molecules scatter blue light more than any other colours, giving the sky it's usual blue colour.",,,,,90,83,,,,,,,,,
SLIDE 3,1,2,4,10,20,When we breath our lungs take in air inside our bodies.,,,,,6,12,,,,,,,,,
SLIDE 3,2,30,4,38,20,"Inside the lungs, some of the oxygen in the air passes into your blood.",,,,,34,12,,,,,,,,,
SLIDE 3,3,30,48,38,64,Your heart pumps the oxygen in the blood around to body to where it is needed in your muscels and organs.,,,,,34,56,,,,,,,,,
SLIDE 3,4,23,52,31,68,"The amount of air we can blow out of our lungs is called our ""lung capacity"".  If you have a large lung capacity then oxygen can travel round our bodies faster.",,,,,27,60,,,,,,,,,
SLIDE 3,5,62,5,70,21,We can increase our lung capacity by exersizing regularly,,,,,66,13,,,,,,,,,
SLIDE 3,6,58,58,66,74,Exposure to air pollution can reduce childrens' lung capacity,,,,,62,66,,,,,,,,,
SLIDE 4,1,1,18,9,34,The particles are so small you could fit 10 of then in the width of a single hair on your head.,,,,,5,26,,,,,,,,,
SLIDE 4,2,26,66,34,82,"Particulate matter is too tiny to be seen by eye, but can be seen under a microscope.",,,,,30,74,,,,,,,,,
SLIDE 5,1,61,13,69,29,"Under a microscope particulate matter can be very beautiful, the particles can be different shapes and sizes and are formed from lots of different materials. ",,,,,65,21,,,,,,,,,
SLIDE 5,2,36,65,44,81,"In 2018 a volcano in Iceland errupted giving out so much volcanic ash that airoplanes we not able to fly through it safely.  In total About 20 countries closed their airspace to commercial planes, and it affected approximately 10 million travellers.",,,,,40,73,,,,,,,,,
SLIDE 5,3,88,26,96,42,"Pollen particles are too big to pass into our lungs and damage our health in the way pollution does, but they can enter our noses and cause hay fever, which can be unpleasant for sufferers.",,,,,,,,,,,,,,,
SLIDE 6,1,4,22,12,38,"""Air pollution"" is defined as any substance that humans put in the atmosphere that can have a harmful effect.",,,,,,,,,,,,,,,
SLIDE 6,2,22,19,30,35,"Some air pollution is from gases, but particulate matter air pollution is one of the most dangerous for our health.",,,,,,,,,,,,,,,
SLIDE 7,1,40,15,57,38,"FACTORY:  Many industrial processes produce air pollution.  Producing energy from coal produced sulfur dioxide gas, which can form particulate matter pollution.",,,,,,,,,,,,,,,
SLIDE 7,1,47,43,60,62,BBQ:  When you cook on a BBQ the grey smoke is full of particulate matter.  On a summers eventing when lots of people have BBQs air pollution can increase a lot.,,,,,,,,,,,,,,,
SLIDE 7,1,23,46,41,65,"HOUSE:  When we heat our houses using oil, gas or electricty it doesn't make pollution at the house, instead pollution is produced in the factories where the oil, gas and electricty are made.    Burning coal and wood does make air pollution.",,,,,,,,,,,,,,,
SLIDE 7,1,75,41,86,56,FIRE:  The smoke from fires contains tiny particles of soot that contributes to particulate matter pollution.  Some fires are natural (caused by lightning) but many are man made.  Sometimes fires start on moorlands when people use disposable BBQs.  There fires are dangerous and contribute to air pollution.,,,,,,,,,,,,,,,
SLIDE 7,1,53,62,87,88,"CAR:  Cars, buses, trucks and lorries all produce air pollution.  Diesel cars normally produce more particulate matter than peterol cars.  We can reduce the amount of pollution we create by walking and cycling instead of driving, as much as possible.",,,,,,,,,,,,,,,
SLIDE 7,1,70,7,87,33,"FIREWORKS:  Fireworks are beatiful and fun to watch, but they also produce a lot of smoke, which adds to air pollution.  Can you think of which nights of the year this might be most important?",,,,,,,,,,,,,,,
SLIDE 7,1,20,24,34,40,"TREE:  Trees are great for the environment because they remove the greenhouse gas Carbon Dioxide.   They can also indirectly help reduce air pollution - some trees can ""filter"" particulate matter out of the air.",,,,,,,,,,,,,,,
SLIDE 8,1,56,21,64,37,"Respiration is another word for breathing.  So ""respitory illnesses"" are any illness that affect how well people can breathe.",,,,,,,,,,,,,,,
SLIDE 8,2,89,6,97,22,A study by Born in Bradford found that air pollution may be responsible for more than a third of childhood asthma cases in Bradford.,,,,,,,,,,,,,,,
SLIDE 8,3,75,54,83,70,"During the COVID-19 lockdown, air pollution concentrations fell in many cities.  During this time doctors found that many people with asthma reported that their symptoms were less severe than normal.",,,,,,,,,,,,,,,
SLIDE 9,1,18,61,26,77,The smallest particles are the most dangerous for health as they are small enough to pass into your lungs,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,40,15,57,38,,682,133,276,202,,,,,,,,,,,
,,47,43,60,62,,791,375,211,167,,,,,,,,,,,
,,23,46,41,65,,392,406,306,157,,,,,,,,,,,
,,75,41,86,56,,1444,492,185,133,,,,,,,,,,,
,,53,62,87,88,,1466,762,571,219,,,,,,,,,,,
,,70,7,87,33,,1465,293,283,232,,,,,,,,,,,
,,20,24,34,40,,576,354,233,139,,,,,,,,,,,
,,1670,865,,,,,,,,,,,,,,,,,,
A QUIZ,1,3,37,73,45,Right,1224,396,1169,75,,,,,,,,,,,
A QUIZ,2,3,48,42,56,Wrong,709,493,651,75,,,,,,,,,,,Resources:  https://www.bbc.co.uk/teach/class-clips-video/science-ks2-respiration-how-is-oxygen-transported-round-the-body/z7t8qp3
A QUIZ,3,3,58,48,67,Wrong,811,585,750,75,,,,,,,,,,,
A QUIZ,4,4,68,48,76,Wrong,805,666,735,75,,,,,,,,,,,
B QUIZ,1,4,37,20,44,Right,344,382,264,60,,,,,,,,,,,
B QUIZ,2,5,46,23,56,Right,400,485,316,80,,,,,,,,,,,
B QUIZ,3,4,58,25,65,Right,421,566,343,63,,,,,,,,,,,
B QUIZ,4,4,68,31,75,Right,527,654,451,64,,,,,,,,,,,
C QUIZ,1,5,37,49,46,Wrong,830,400,738,77,,,,,,,,,,,
